Identifier,Taxa1,Taxa2,Taxa3
SMGC_1705,Virus,Podoviridae,Podoviridae
SMGC_1706,Virus,Unassigned,Unassigned
SMGC_1711,Virus,Siphoviridae,Siphoviridae
SMGC_1701,Virus,Other,Other
SMGC_1709,Virus,Myoviridae,Myoviridae
SMGC_1710,Virus,Unassigned,Unassigned
SMGC_1715,Virus,Siphoviridae,Siphoviridae
SMGC_1703,Virus,Siphoviridae,Siphoviridae
SMGC_1727,Virus,Siphoviridae,Siphoviridae
SMGC_1702,Virus,Siphoviridae,Siphoviridae
SMGC_1728,Virus,Siphoviridae,Siphoviridae
SMGC_1722,Virus,Siphoviridae,Siphoviridae
SMGC_1718,Virus,Podoviridae,Podoviridae
SMGC_1719,Virus,Siphoviridae,Siphoviridae
SMGC_1720,Virus,Siphoviridae,Siphoviridae
SMGC_1721,Virus,Siphoviridae,Siphoviridae
SMGC_1708,Virus,Siphoviridae,Siphoviridae
SMGC_1723,Virus,Podoviridae,Podoviridae
SMGC_1724,Virus,Siphoviridae,Siphoviridae
SMGC_1725,Virus,Siphoviridae,Siphoviridae
